Disease,Symptom
Ingrown toe nail,Swollen eye
Ingrown toe nail,Neck swelling
Ingrown toe nail,Skin irritation
Ingrown toe nail,Itchy scalp
Pulmonary eosinophilia,Cough
Pulmonary eosinophilia,Shortness of breath
Pulmonary eosinophilia,Fever
Pulmonary eosinophilia,Nasal congestion
Pulmonary eosinophilia,Sharp chest pain
Pulmonary eosinophilia,Difficulty breathing
Pulmonary eosinophilia,Dizziness
Pulmonary eosinophilia,Ache all over
Pulmonary eosinophilia,Nosebleed
Pulmonary eosinophilia,Redness in ear
Pulmonary eosinophilia,Fluid retention
Pulmonary eosinophilia,Paresthesia
Open wound of the hip,Hip pain
Open wound of the hip,Leg pain
Open wound of the hip,Hip swelling
Corneal disorder,Diminished vision
Corneal disorder,Pain in eye
Corneal disorder,Eye redness
Corneal disorder,Spots or clouds in vision
Corneal disorder,Symptoms of eye
Corneal disorder,Foreign body sensation in eye
Corneal disorder,Lacrimation
Corneal disorder,Itchiness of eye
Corneal disorder,White discharge from eye
Corneal disorder,Swollen eye
Corneal disorder,Double vision
Corneal disorder,Eyelid lesion or rash
Foreign body in the gastrointestinal tract,Difficulty in swallowing
Foreign body in the gastrointestinal tract,Vomiting
Foreign body in the gastrointestinal tract,Sharp abdominal pain
Foreign body in the gastrointestinal tract,Regurgitation
Foreign body in the gastrointestinal tract,Vomiting blood
Foreign body in the gastrointestinal tract,Throat feels tight
Foreign body in the gastrointestinal tract,Lump in throat
Foreign body in the gastrointestinal tract,Recent weight loss
Foreign body in the gastrointestinal tract,Cramps and spasms
Foreign body in the gastrointestinal tract,Incontinence of stool
Foreign body in the gastrointestinal tract,Foot or toe cramps or spasms
Foreign body in the gastrointestinal tract,Temper problems
Endophthalmitis,Pain in eye
Endophthalmitis,Eye redness
Endophthalmitis,Swollen eye
Endophthalmitis,Diminished vision
Endophthalmitis,Itchiness of eye
Endophthalmitis,Mass on eyelid
Endophthalmitis,Paresthesia
Endophthalmitis,Painful sinuses
Endophthalmitis,Skin lesion
Endophthalmitis,Foot or toe pain
Endophthalmitis,Lacrimation
Endophthalmitis,Painful urination
Intestinal malabsorption,Diarrhea
Intestinal malabsorption,Vomiting
Intestinal malabsorption,Sharp abdominal pain
Intestinal malabsorption,Allergic reaction
Intestinal malabsorption,Irritable infant
Intestinal malabsorption,Infant feeding problem
Intestinal malabsorption,Cough
Intestinal malabsorption,Constipation
Intestinal malabsorption,Nasal congestion
Intestinal malabsorption,Infant spitting up
Intestinal malabsorption,Feeling ill
Intestinal malabsorption,Flatulence
Lead poisoning,Pain in eye
Lead poisoning,Shoulder cramps or spasms
Lead poisoning,Facial pain
Lead poisoning,Ankle pain
Lead poisoning,Wrist pain
Lead poisoning,Pain during pregnancy
Lead poisoning,Excessive anger
Lead poisoning,Joint stiffness or tightness
Lead poisoning,Pain or soreness of breast
Lead poisoning,Knee lump or mass
Lead poisoning,Fatigue
Lead poisoning,Excessive urination at night
Viral warts,Warts
Viral warts,Skin lesion
Viral warts,Skin growth
Viral warts,Abnormal appearing skin
Viral warts,Skin moles
Viral warts,Acne or pimples
Viral warts,Bumps on penis
Viral warts,Skin swelling
Viral warts,Skin dryne
Viral warts,Lip swelling
Viral warts,Too little hair
Viral warts,Foot or toe lump or mass
Hyperhidrosis,Sweating
Hyperhidrosis,Warts
Hyperhidrosis,Acne or pimples
Hyperhidrosis,Fever
Hyperhidrosis,Skin rash
Hyperhidrosis,Redness in ear
Hyperhidrosis,Headache
Hyperhidrosis,Diminished vision
Hyperhidrosis,Sharp abdominal pain
Hyperhidrosis,Cough
Hyperhidrosis,Vomiting
Hyperhidrosis,Cramps and spasms
Stroke,Focal weakness
Stroke,Dizziness
Stroke,Headache
Stroke,Loss of sensation
Stroke,Weakness
Stroke,Problems with movement
Stroke,Slurring words
Stroke,Difficulty speaking
Stroke,Depressive or psychotic symptoms
Stroke,Seizures
Stroke,Abnormal involuntary movements
Stroke,Disturbance of memory
Pilonidal cyst,Skin growth
Pilonidal cyst,Lower body pain
Pilonidal cyst,Ache all over
Pilonidal cyst,Skin swelling
Pilonidal cyst,Pain of the anus
Pilonidal cyst,Bones are painful
Pilonidal cyst,Back mass or lump
Pilonidal cyst,Mass or swelling around the anus
Pilonidal cyst,Pelvic pain
Pilonidal cyst,Fluid retention
Pilonidal cyst,Low back swelling
Pilonidal cyst,Irregular appearing scalp
Crushing injury,Hand or finger pain
Crushing injury,Foot or toe pain
Crushing injury,Loss of sensation
Crushing injury,Hand or finger swelling
Crushing injury,Hand or finger stiffness or tightness
Crushing injury,Ankle swelling
Crushing injury,Knee swelling
Crushing injury,Neck swelling
Crushing injury,Lymphedema
Normal pressure hydrocephalus,Problems with movement
Normal pressure hydrocephalus,Headache
Normal pressure hydrocephalus,Disturbance of memory
Normal pressure hydrocephalus,Depressive or psychotic symptoms
Normal pressure hydrocephalus,Dizziness
Normal pressure hydrocephalus,Palpitations
Normal pressure hydrocephalus,Difficulty speaking
Normal pressure hydrocephalus,Involuntary urination
Normal pressure hydrocephalus,Fatigue
Normal pressure hydrocephalus,Hip lump or mass
Normal pressure hydrocephalus,Blood in urine
Normal pressure hydrocephalus,Drainage in throat
Alopecia,Too little hair
Alopecia,Irregular appearing scalp
Alopecia,Skin rash
Alopecia,Skin swelling
Alopecia,Abnormal appearing skin
Alopecia,Dry or flaky scalp
Alopecia,Acne or pimples
Alopecia,Skin dryne
Alopecia,Itchy scalp
Alopecia,Itching of skin
Alopecia,Feeling ill
Alopecia,Skin growth
Hashimoto thyroiditis,Weight gain
Hashimoto thyroiditis,Constipation
Hashimoto thyroiditis,Heavy menstrual flow
Hashimoto thyroiditis,Premenstrual tension or irritability
Hashimoto thyroiditis,Warts
Hashimoto thyroiditis,Difficulty in swallowing
Hashimoto thyroiditis,Too little hair
Hashimoto thyroiditis,Palpitations
Hashimoto thyroiditis,Heartburn
Hashimoto thyroiditis,Suprapubic pain
Hashimoto thyroiditis,Abnormal involuntary movements
Hashimoto thyroiditis,Feeling hot
Flat feet,Foot or toe pain
Flat feet,Knee pain
Flat feet,Ankle pain
Flat feet,Problems with movement
Flat feet,Cramps and spasms
Flat feet,Feet turned in
Flat feet,Symptoms of eye
Flat feet,Foot or toe stiffness or tightness
Flat feet,Skin swelling
Flat feet,Weight gain
Flat feet,Skin growth
Flat feet,Retention of urine
Nonalcoholic liver disease (NASH),Sharp abdominal pain
Nonalcoholic liver disease (NASH),Upper abdominal pain
Nonalcoholic liver disease (NASH),Nausea
Nonalcoholic liver disease (NASH),Dizziness
Nonalcoholic liver disease (NASH),Diarrhea
Nonalcoholic liver disease (NASH),Weight gain
Nonalcoholic liver disease (NASH),Mouth ulcer
Nonalcoholic liver disease (NASH),Chills
Nonalcoholic liver disease (NASH),Paresthesia
Nonalcoholic liver disease (NASH),Joint pain
Nonalcoholic liver disease (NASH),Nosebleed
Nonalcoholic liver disease (NASH),Regurgitation
Hemarthrosis,Knee pain
Hemarthrosis,Knee swelling
Hemarthrosis,Frequent urination
Hemarthrosis,Shoulder pain
Hemarthrosis,Ankle swelling
Hemarthrosis,Knee lump or mass
Hemarthrosis,Abnormal appearing skin
Hemarthrosis,Ache all over
Hemarthrosis,Knee stiffness or tightness
Hemarthrosis,Problems with movement
Hemarthrosis,Elbow cramps or spasms
Hemarthrosis,Elbow weakness
Pelvic organ prolapse,Involuntary urination
Pelvic organ prolapse,Frequent urination
Pelvic organ prolapse,Symptoms of bladder
Pelvic organ prolapse,Retention of urine
Pelvic organ prolapse,Suprapubic pain
Pelvic organ prolapse,Vaginal pain
Pelvic organ prolapse,Pelvic pain
Pelvic organ prolapse,Blood in urine
Pelvic organ prolapse,Pelvic pressure
Pelvic organ prolapse,Vaginal discharge
Pelvic organ prolapse,Excessive urination at night
Pelvic organ prolapse,Intermenstrual bleeding
Fracture of the arm,Arm pain
Fracture of the arm,Wrist pain
Fracture of the arm,Elbow pain
Fracture of the arm,Shoulder pain
Fracture of the arm,Wrist swelling
Fracture of the arm,Arm swelling
Fracture of the arm,Elbow swelling
Fracture of the arm,Arm stiffness or tightness
Fracture of the arm,Wrist stiffness or tightness
Fracture of the arm,Shoulder stiffness or tightness
Fracture of the arm,Elbow stiffness or tightness
Coagulation (bleeding) disorder,Leg pain
Coagulation (bleeding) disorder,Leg swelling
Coagulation (bleeding) disorder,Nosebleed
Coagulation (bleeding) disorder,Blood in urine
Coagulation (bleeding) disorder,Eye redness
Coagulation (bleeding) disorder,Melena
Coagulation (bleeding) disorder,Lymphedema
Coagulation (bleeding) disorder,Hemoptysis
Coagulation (bleeding) disorder,Leg cramps or spasms
Coagulation (bleeding) disorder,Early or late onset of menopause
Coagulation (bleeding) disorder,Knee swelling
Coagulation (bleeding) disorder,Vaginal pain
Intracranial hemorrhage,Headache
Intracranial hemorrhage,Depressive or psychotic symptoms
Intracranial hemorrhage,Disturbance of memory
Intracranial hemorrhage,Problems with movement
Intracranial hemorrhage,Dizziness
Intracranial hemorrhage,Seizures
Intracranial hemorrhage,Weakness
Intracranial hemorrhage,Vomiting
Intracranial hemorrhage,Joint pain
Intracranial hemorrhage,Abnormal involuntary movements
Intracranial hemorrhage,Diminished vision
Intracranial hemorrhage,Difficulty speaking
Hyperkalemia,Shortness of breath
Hyperkalemia,Weakness
Hyperkalemia,Nausea
Hyperkalemia,Vomiting
Hyperkalemia,Dizziness
Hyperkalemia,Sharp chest pain
Hyperkalemia,Depressive or psychotic symptoms
Hyperkalemia,Sharp abdominal pain
Hyperkalemia,Feeling ill
Hyperkalemia,Decreased heart rate
Hyperkalemia,Decreased appetite
Hyperkalemia,Difficulty in swallowing
Cornea infection,Pain in eye
Cornea infection,Eye redness
Cornea infection,Diminished vision
Cornea infection,Symptoms of eye
Cornea infection,Foreign body sensation in eye
Cornea infection,Lacrimation
Cornea infection,Eye burns or stings
Cornea infection,Itchiness of eye
Cornea infection,Spots or clouds in vision
Cornea infection,Swollen eye
Cornea infection,Lip swelling
Cornea infection,Itchy eyelid
Abscess of the lung,Cough
Abscess of the lung,Sharp chest pain
Abscess of the lung,Shortness of breath
Abscess of the lung,Hemoptysis
Abscess of the lung,Depressive or psychotic symptoms
Abscess of the lung,Back pain
Abscess of the lung,Drainage in throat
Abscess of the lung,Vomiting
Abscess of the lung,Headache
Abscess of the lung,Itchy eyelid
Abscess of the lung,Wrist weakness
Abscess of the lung,Excessive growth
Dengue fever,Sore throat
Dengue fever,Fever
Dengue fever,Shoulder cramps or spasms
Dengue fever,Ankle pain
Dengue fever,Wrist pain
Dengue fever,Pain during pregnancy
Dengue fever,Joint stiffness or tightness
Dengue fever,Excessive anger
Dengue fever,Pain or soreness of breast
Dengue fever,Knee lump or mass
Dengue fever,Facial pain
Dengue fever,Pain in eye
Chronic sinusitis,Cough
Chronic sinusitis,Nasal congestion
Chronic sinusitis,Headache
Chronic sinusitis,Sore throat
Chronic sinusitis,Fever
Chronic sinusitis,Frontal headache
Chronic sinusitis,Coryza
Chronic sinusitis,Ear pain
Chronic sinusitis,Painful sinuses
Chronic sinusitis,Sinus congestion
Chronic sinusitis,Facial pain
Chronic sinusitis,Congestion in chest
Cholesteatoma,Ear pain
Cholesteatoma,Diminished hearing
Cholesteatoma,Fluid in ear
Cholesteatoma,Redness in ear
Cholesteatoma,Nasal congestion
Cholesteatoma,Mass on ear
Cholesteatoma,Plugged feeling in ear
Cholesteatoma,Bleeding from ear
Cholesteatoma,Skin growth
Cholesteatoma,Pus draining from ear
Cholesteatoma,Allergic reaction
Cholesteatoma,Muscle swelling
Volvulus,Sharp abdominal pain
Volvulus,Vomiting
Volvulus,Constipation
Volvulus,Burning abdominal pain
Volvulus,Peripheral edema
Volvulus,Back pain
Volvulus,Nausea
Volvulus,Depressive or psychotic symptoms
Volvulus,Diarrhea
Volvulus,Elbow cramps or spasms
Volvulus,Elbow weakness
Volvulus,Excessive growth
Injury to the finger,Hand or finger pain
Injury to the finger,Hand or finger swelling
Injury to the finger,Hand or finger stiffness or tightness
Injury to the finger,Hand or finger weakness
Injury to the finger,Swelling of scrotum
Injury to the finger,Hand or finger lump or mass
Poisoning due to analgesics,Depressive or psychotic symptoms
Poisoning due to analgesics,Depression
Poisoning due to analgesics,Vomiting
Poisoning due to analgesics,Abusing alcohol
Poisoning due to analgesics,Problems during pregnancy
Poisoning due to analgesics,Low self-esteem
Poisoning due to analgesics,Skin swelling
Poisoning due to analgesics,Heartburn
Poisoning due to analgesics,Hostile behavior
Poisoning due to analgesics,Throat irritation
Poisoning due to analgesics,Excessive anger
Poisoning due to analgesics,Blood in stool
Atrial fibrillation,Shortness of breath
Atrial fibrillation,Sharp chest pain
Atrial fibrillation,Palpitations
Atrial fibrillation,Dizziness
Atrial fibrillation,Irregular heartbeat
Atrial fibrillation,Fatigue
Atrial fibrillation,Increased heart rate
Atrial fibrillation,Decreased heart rate
Pinworm infection,Itching of the anus
Pinworm infection,Sharp abdominal pain
Pinworm infection,Pain of the anus
Pinworm infection,Skin rash
Pinworm infection,Constipation
Pinworm infection,Itching of skin
Pinworm infection,Painful urination
Pinworm infection,Neck mass
Pinworm infection,Retention of urine
Pinworm infection,Ankle pain
Pinworm infection,Burning abdominal pain
Pinworm infection,Coryza
Urethral valves,Side pain
Urethral valves,Sharp abdominal pain
Urethral valves,Lower abdominal pain
Urethral valves,Suprapubic pain
Urethral valves,Vomiting
Urethral valves,Constipation
Urethral valves,Blood in urine
Urethral valves,Skin growth
Urethral valves,Nausea
Urethral valves,Muscle swelling
Urethral valves,Low back weakness
Urethral valves,Elbow weakness
Open wound of the neck,Skin lesion
Open wound of the neck,Ache all over
Open wound of the neck,Abnormal appearing skin
Open wound of the neck,Peripheral edema
Open wound of the neck,Foot or toe swelling
Open wound of the neck,Skin swelling
Open wound of the neck,Sweating
Open wound of the neck,Skin on leg or foot looks infected
Open wound of the neck,Delusions or hallucinations
Open wound of the neck,Increased heart rate
Open wound of the neck,Skin on arm or hand looks infected
Achalasia,Sharp chest pain
Achalasia,Difficulty in swallowing
Achalasia,Back pain
Achalasia,Cough
Achalasia,Regurgitation
Achalasia,Hurts to breath
Achalasia,Throat feels tight
Achalasia,Rib pain
Achalasia,Lump in throat
Achalasia,Cramps and spasms
Achalasia,Hoarse voice
Achalasia,Chest tightness
Conductive hearing loss,Diminished hearing
Conductive hearing loss,Ear pain
Conductive hearing loss,Plugged feeling in ear
Conductive hearing loss,Redness in ear
Conductive hearing loss,Ringing in ear
Conductive hearing loss,Dizziness
Conductive hearing loss,Fluid in ear
Conductive hearing loss,Difficulty speaking
Conductive hearing loss,Lack of growth
Conductive hearing loss,Hoarse voice
Conductive hearing loss,Swollen or red tonsils
Conductive hearing loss,Low self-esteem
Abdominal hernia,Sharp abdominal pain
Abdominal hernia,Groin mass
Abdominal hernia,Ache all over
Abdominal hernia,Upper abdominal pain
Abdominal hernia,Groin pain
Abdominal hernia,Lower abdominal pain
Abdominal hernia,Irregular belly button
Abdominal hernia,Swollen abdomen
Abdominal hernia,Regurgitation
Abdominal hernia,Infant spitting up
Abdominal hernia,Swelling of scrotum
