Disease,CommonTestAndProcedure
Pseudotumor cerebri,Ophthalmic examination and evaluation (Eye exam)
Pseudotumor cerebri,Standard pregnancy test
Pseudotumor cerebri,Diagnostic spinal tap (Spinal tap)
Pseudotumor cerebri,Other therapeutic procedures on eyelids; conjunctiva; cornea
Pseudotumor cerebri,Other therapeutic procedures
Pseudotumor cerebri,Other OR Rx procedures on respiratory system and mediastinum
Conjunctivitis due to virus,Ophthalmic examination and evaluation (Eye exam)
Conjunctivitis due to virus,Influenzavirus antibody assay
Conjunctivitis due to virus,Referral to home health care service
Open wound of the nose,Suturing of wound
Open wound of the nose,Wound care management
Open wound of the nose,Plain x-ray (X ray)
Open wound of the nose,X-ray computed tomography (Scan ct)
Open wound of the nose,CAT scan of head (Head ct)
Open wound of the nose,Culture wound
Open wound of the nose,Blood alcohol
Open wound of the nose,Other therapeutic procedures
